LIBELLEOPERATION,categorie_nom,CATEGORIE
A O SPORT,Shopping,1
A SAMAD AL QURA,Shopping,1
ACCESSORIZE AP,Shopping,1
ALAIN REGNER,Shopping,1
ALAMOPTIC SARL,Shopping,1
ALDO MARRAKECH,Shopping,1
ALDO MOROCCO MA,Shopping,1
ALPHA PALACE GO,Shopping,1
AMERICAN CORNER,Shopping,1
AMERICAN EAGLES,Shopping,1
ANORAK RABAT AG,Shopping,1
ARMANI JEANS,Shopping,1
ARMANZO,Shopping,1
ARMEL FES,Shopping,1
ARMEL M M,Shopping,1
ARMEL PRINCE,Shopping,1
ASWAK OUARZAZAT,Shopping,1
AU BRILLANT RAF,Shopping,1
AU DERBY BRAVO,Shopping,1
AU DERBY EL JAD,Shopping,1
AU DERBY M M,Shopping,1
AU DERBY MRKCH,Shopping,1
AU DERBY RABAT,Shopping,1
AUDERBY MRKCH,Shopping,1
AVVA M M,Shopping,1
AVVA RAK,Shopping,1
BAB MOULAY DRIS,Shopping,1
BAGATT,Shopping,1
BALZATEX,Shopping,1
BAMBINA,Shopping,1
BANANA REPUBLIC,Shopping,1
BEAUTIFUL WEAR,Shopping,1
BEAUX ONGLES II,Shopping,1
BEBE,Shopping,1
BELLUGA DENIM,Shopping,1
BENETTON     M,Shopping,1
BENSON SHOES,Shopping,1
BENSON SHOES A,Shopping,1
BERSHKA MASSIRA,Shopping,1
BIG DEAL,Shopping,1
BIGDIL MAZAR,Shopping,1
BIJOUTIER LAHJO,Shopping,1
BISHOPS SOLUTIO,Shopping,1
BLACK S,Shopping,1
BLANCO M MALL,Shopping,1
BOSSINI HAY RIA,Shopping,1
BOUBKER BIJOUTE,Shopping,1
BOUTIQUE HASSOU,Shopping,1
BOUTIQUE MANGA,Shopping,1
BOUTIQUE NEXT L,Shopping,1
BRICE AGDAL,Shopping,1
BROKY  SHOES  M,Shopping,1
BROKY CHAUSSURE,Shopping,1
BROKY SHOES,Shopping,1
BROKY SHOES SAL,Shopping,1
CAMAIEU AP,Shopping,1
CAMAIEU CASA RA,Shopping,1
CAMAIEU CE,Shopping,1
CAMAIEU HR RABA,Shopping,1
CAMAIEU RAK,Shopping,1
CAMAIEU RAK AL,Shopping,1
CAMAIEU RBT AGD,Shopping,1
CARAMELO AP,Shopping,1
CATERPILLAR,Shopping,1
CATERPILLAR AGA,Shopping,1
CATIMINI,Shopping,1
CATTERPILLAR MA,Shopping,1
CAVA PUROS,Shopping,1
CAVA PUROS M M,Shopping,1
CCDA BTIQUE BOU,Shopping,1
CELIO AGADIR,Shopping,1
CELIO AL MAZAR,Shopping,1
CELIO BF,Shopping,1
CELIO MARJANE M,Shopping,1
CELIO ROUGE AP,Shopping,1
CENTURY SHOES,Shopping,1
CHAHD DREAM,Shopping,1
CHATR ART,Shopping,1
CHRISTIAN DIOR,Shopping,1
CINTI MM,Shopping,1
CITY SPORT I,Shopping,1
CITY SPORT II,Shopping,1
CITY SPORT LA C,Shopping,1
CITY SPORT M M,Shopping,1
CITY SPORT ZERK,Shopping,1
CLARKS AP,Shopping,1
CLUB COSTUME,Shopping,1
COCO BEAUTY M M,Shopping,1
CONFESERIE D AL,Shopping,1
CORONAMEN,Shopping,1
CORTE PIEL MRJ,Shopping,1
CORTEFIEL CASA,Shopping,1
CORTEFIEL CE,Shopping,1
CORTEFIEL RBT R,Shopping,1
COSTCUTTER MORO,Shopping,1
CTF M M,Shopping,1
DASKALIDES,Shopping,1
DASNAVINA,Shopping,1
DASNAVINA MASSI,Shopping,1
DEVRED MAARIF,Shopping,1
DIALY ECOM,Shopping,1
DIAMANTINE  SAR,Shopping,1
DIAMANTINE MEDI,Shopping,1
DIAMANTINE PREM,Shopping,1
DIESEL MEGA MAL,Shopping,1
DIM CASABLANCA,Shopping,1
DIM CE,Shopping,1
DIM MAARIF,Shopping,1
DIM MM,Shopping,1
DIM RABAT MEGAM,Shopping,1
DISNEY GIFTS II,Shopping,1
DISTRIACCESSOIR,Shopping,1
DISTRIMAR,Shopping,1
DPAM AGDAL RABA,Shopping,1
DPAM HAY RIAD,Shopping,1
DPAM MM CASA,Shopping,1
DVH MARRAKECH,Shopping,1
EDEN PARK,Shopping,1
EL AZRAK MOHAME,Shopping,1
EL MOHAJIRI,Shopping,1
ELEGANCE,Shopping,1
ELITE SHOES,Shopping,1
ELLE PARIS,Shopping,1
EMPREINTE BY RE,Shopping,1
ERAM RAK,Shopping,1
ERRAYEM,Shopping,1
ETAM AGDAL RABA,Shopping,1
ETAM LING MM CA,Shopping,1
ETAM LINGERIE H,Shopping,1
ETAM MEGA MALL,Shopping,1
EXCELLENCE MM,Shopping,1
EXCLUSIVE A P,Shopping,1
EXCLUSIVE AGDAL,Shopping,1
EXCLUSIVE CE,Shopping,1
EXCLUSIVE M M,Shopping,1
EXCLUSIVE MARRA,Shopping,1
FASHION LEATHER,Shopping,1
FENDI M M,Shopping,1
FG  WOMEN AP,Shopping,1
FIRST TIME,Shopping,1
G E RABAT,Shopping,1
G F COSMETIQUE,Shopping,1
GAZAL,Shopping,1
GEOX,Shopping,1
GEOX  MEGA  MAL,Shopping,1
GEOX M M,Shopping,1
GIO MARRAKECH,Shopping,1
GOURMET MARKET,Shopping,1
GOURMET STORE,Shopping,1
GRANDE RECRE AP,Shopping,1
GRANDE RECRE EL,Shopping,1
GUCCI M M,Shopping,1
HA BEAUTE,Shopping,1
HAMZA BOUTIQUE,Shopping,1
HMALL ECOM,Shopping,1
HUGO BOSS,Shopping,1
HUGO BOSS ANFA,Shopping,1
HUNKE MOLLER BF,Shopping,1
HUNKEMOLLER CE,Shopping,1
ILM CARTIER,Shopping,1
IO CHAUSSURES,Shopping,1
IZAC CASA,Shopping,1
JACQUES DESSANG,Shopping,1
JAGGER MOUHAMED,Shopping,1
JENNYFER AL MAZ,Shopping,1
JENNYFER BF,Shopping,1
JERRAFLORE II,Shopping,1
JOUPI  GHANDI,Shopping,1
JULES AGDAL,Shopping,1
JULES HAY RYAD,Shopping,1
JULES MAARIF,Shopping,1
JULES MEGA MALL,Shopping,1
JUST   KID S MA,Shopping,1
K SHOP,Shopping,1
K SHOP  D FES,Shopping,1
K SHOP D ACIMA,Shopping,1
K SHOP D GHANDI,Shopping,1
K SHOP D LABEL,Shopping,1
K SHOP D MARJ T,Shopping,1
KAREN MELLEN M,Shopping,1
KEITO BF,Shopping,1
KEITO M M  A D,Shopping,1
KEYZA  II,Shopping,1
KIABI BF IP,Shopping,1
KIABI BOURGOGNE,Shopping,1
KID S VILLAGE M,Shopping,1
KTLC MARJANE AG,Shopping,1
KTLC MARJANE CA,Shopping,1
KTLC MARJANE RA,Shopping,1
KTLC MASSIRA KH,Shopping,1
L B KECH,Shopping,1
LA MARTINA M M,Shopping,1
LA PERLA,Shopping,1
LAIKA SA  PARSO,Shopping,1
LE   MAROQUIN,Shopping,1
LE MAROQUIN ART,Shopping,1
LE MAROQUIN MRJ,Shopping,1
LE MAXWELL,Shopping,1
LE MIRAGE BOUTI,Shopping,1
LE PALACE,Shopping,1
LE RENCARD,Shopping,1
LEE  COOPER,Shopping,1
LEE  COOPER  MA,Shopping,1
LEE COOPER AL M,Shopping,1
LIPS,Shopping,1
LOUIS VUITTON M,Shopping,1
LVCM A TAOUJTAT,Shopping,1
LVCM RABAT,Shopping,1
MAC M M,Shopping,1
MACROBURO,Shopping,1
MAIDA  AIN SEBA,Shopping,1
MAIDA  TANGER,Shopping,1
MAJE   SOCAMAJE,Shopping,1
MANGO AGADIR,Shopping,1
MANGO FES,Shopping,1
MANGO MARRAKECH,Shopping,1
MANGO MOROCCO M,Shopping,1
MANGO RABAT,Shopping,1
MARWA  CASA,Shopping,1
MARWA  MARRAKEC,Shopping,1
MARWA  TAWADA,Shopping,1
MARWA ABDELMOUM,Shopping,1
MARWA BF,Shopping,1
MARWA CARRE EDE,Shopping,1
MARWA CASA BOUR,Shopping,1
MARWA GAUTHIER,Shopping,1
MARWA GHANDI,Shopping,1
MARWA GUELIZ,Shopping,1
MARWA M M,Shopping,1
MARWA MAARIF,Shopping,1
MARWA MARJANE T,Shopping,1
MARWA MEKNES II,Shopping,1
MARWA MOHAMEDIA,Shopping,1
MARWA NADOR,Shopping,1
MASSIMO  DUTTI,Shopping,1
MAX DOUJA,Shopping,1
MAXI LV  A SEBA,Shopping,1
MAXI LV OUJDA G,Shopping,1
MAXITOYS,Shopping,1
MAYA SHOES,Shopping,1
MAYORAL,Shopping,1
MAYORAL AP,Shopping,1
MAYORAL CE,Shopping,1
MB JOAILLIER M,Shopping,1
MB PARTNERS,Shopping,1
MEC CARLY MAARI,Shopping,1
MEC CARLY RABAT,Shopping,1
MEGA MALL,Shopping,1
MEGA MODE,Shopping,1
MEGA SPORT SARL,Shopping,1
MIMID SHOES,Shopping,1
MINELLI MEGA MA,Shopping,1
MIRO HOME KENIT,Shopping,1
MIRO HOME RAK,Shopping,1
MOB SHOP GUELIZ,Shopping,1
MODA ITALIANA,Shopping,1
MORROCAN TOUCH,Shopping,1
MOTIVO,Shopping,1
MOXE BF,Shopping,1
MOXE KENITRA,Shopping,1
MOXE MAARIF,Shopping,1
MOXE MARJ MKCH,Shopping,1
MOXE MARJANE CA,Shopping,1
MOXE MKCH MAZAR,Shopping,1
MOXE NADOR,Shopping,1
NEW LOOK SHOP,Shopping,1
NICOLAS,Shopping,1
